Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
2016-09-01,2157.69,45.03,89.09,241.43,1.63,2232.83,46.6,92.19,26.73
2016-10-01,2143.02,45.25,90.91,241.73,1.76,2214.89,46.77,93.96,26.53
2016-11-01,2164.99,45.48,92.73,241.35,2.14,2241.08,47.07,95.99,26.85
2016-12-01,2246.63,45.7,94.55,241.43,2.49,2324.83,47.29,97.84,27.87
2017-01-01,2275.12,45.93,96.46,242.84,2.43,2340.67,47.25,99.24,28.06
2017-02-01,2329.91,46.15,98.38,243.6,2.42,2389.52,47.33,100.89,28.66
2017-03-01,2366.82,46.38,100.29,243.8,2.48,2425.4,47.53,102.77,29.09
2017-04-01,2359.31,46.66,101.53,244.52,2.3,2410.56,47.67,103.74,28.9
2017-05-01,2395.35,46.94,102.78,244.73,2.3,2445.29,47.92,104.92,29.31
2017-06-01,2433.99,47.22,104.02,244.96,2.19,2482.48,48.16,106.09,29.75
2017-07-01,2454.1,47.54,105.04,244.79,2.32,2504.72,48.52,107.21,30.0
2017-08-01,2456.22,47.85,106.06,245.52,2.21,2499.4,48.69,107.92,29.91
2017-09-01,2492.84,48.17,107.08,246.82,2.2,2523.31,48.76,108.39,30.17
2017-10-01,2557.0,48.42,108.01,246.66,2.36,2589.89,49.05,109.4,30.92
2017-11-01,2593.61,48.68,108.95,246.67,2.35,2626.9,49.3,110.35,31.3
2017-12-01,2664.34,48.93,109.88,246.52,2.4,2700.13,49.59,111.36,32.09
2018-01-01,2789.8,49.29,,247.87,2.58,2811.96,49.68,,33.31
2018-02-01,2705.16,49.64,,248.99,2.86,2714.34,49.81,,32.12
2018-03-01,2702.77,50.0,,249.55,2.84,2705.82,50.06,,31.99
2018-04-01,2642.19,,,249.84,2.8,2642.19,,,31.19
